Title,Description,URL,Access note,Subjects,Resource type,Access model,Provider
ABI/Inform,"Business research database providing scholarly articles, trade publications, company profiles, industry reports, and business news.",https://www.proquest.com/abicomplete/index?accountid=15172,,Business & Economics; News & Media,Dataset,External platform,ProQuest
Ad*Access,Digital archive of historical U.S. and Canadian advertisements from 1911 to 1955.,https://repository.duke.edu/dc/adaccess,Requires users to register for an account with a valid Yale email address.,Business & Economics; News & Media; Humanities & History,Data Platform,Open access,
Advertising Age,"News and analysis platform covering advertising, marketing, media, agencies, and brand strategy.",https://library.yale.edu/eresources/access/access-ad-age?_ga=2.49974048.788554764.1679317615-416833816.1675090855,,Business & Economics; News & Media,Data Platform,External platform,
American City Business Journals,"Collection of local business news, company information, and economic reporting from major U.S. metropolitan areas.",https://library.yale.edu/eresources/access/access-american-city-business-journals,Requires users to request an individual account with a Yale email address.,Business & Economics; News & Media,Data Platform,External platform,
American Energy Society,"Energy information platform providing industry news, reports, white papers, podcasts, and market intelligence.",https://library.yale.edu/eresources/access/access-american-energy-society,New users will need to register for an individual account using a valid Yale email address .,Energy & Environment; Business & Economics; Government & Public Policy,Data Platform,External platform,
Associations Unlimited,"Directory of professional, trade, cultural, labor, and nonprofit organizations in the United States and abroad.",https://yale.idm.oclc.org/login?URL=https://go.gale.com/ps/i.do?p=GDL&sw=w&u=29002&v=2.1&pg=BasicSearch&it=static&sid=bookmark-GDL,"Descriptions and contact information for over 500 membership organizations from around the world, including professional and trade associations, labor unions, and cultural organizations. Included titles: Encyclopedia of Associations: National Organizations of the U.S., Encyclopedia of Associations: International Organizations, and Encyclopedia of Associations: Regional, State & Local Associations .",Social Sciences,Data Platform,External platform,Gale
Audit Analytics,"Database of corporate disclosures, audit information, accounting practices, regulatory filings, and compliance activity.",https://library.yale.edu/eresources/access/access-audit-analytics,Available via WRDS or the Audit Analytics website. Both options require users to register for an account with a valid Yale email address.,Business & Economics; Government & Public Policy,Dataset,External platform,
BBC Research,"Market research platform covering emerging technologies, healthcare, energy, materials, biotechnology, and industrial sectors.",http://hdl.handle.net/10079/yuldb/yuldb1766,,Energy & Environment; Health & Medicine; Business & Economics,Data Platform,External platform,
Bloomberg Terminal,"Professional financial data platform providing real-time market data, company information, economic indicators, analytics, and news. Widely used for investment, finance, and economic research.",https://guides.library.yale.edu/Bloomberg,,Business & Economics; News & Media,Data Platform,Workstation access,Bloomberg
Bloomberg.com,"News and data platform covering global markets, business, economics, politics, technology, and policy.",https://web.library.yale.edu/access-bloombergcom,Requires users to register for an individual account with a Yale email address.Bloomberg.com accounts are reset annually after the spring semester. Returning users may need to re-register with their @yale.edu address at that time.,Business & Economics; Government & Public Policy; News & Media,Data Platform,External platform,Bloomberg
Business Insider,"Digital news platform featuring reporting on business, technology, finance, careers, and global affairs.",https://library.yale.edu/eresources/access/access-business-insider,Requires users to register for an account with a Yale email address.,Business & Economics; Social Sciences; News & Media,Data Platform,External platform,
Business of Fashion Professional,"Industry intelligence platform covering global fashion markets, companies, retail strategy, and consumer trends.",https://library.yale.edu/eresources/access/access-business-fashion?_ga=2.228768796.1813429910.1685970342-141142974.1682704224,Requires users to register for an account with a Yale email address. The campus subscription does not include access to BoF Insights reports.,Business & Economics,Data Platform,External platform,
Business Source Ultimate,"Comprehensive business database providing scholarly journals, trade publications, industry reports, SWOT analyses, case studies, and company profiles.",https://yale.idm.oclc.org/login?URL=https://research-ebsco-com.yale.idm.oclc.org/c/bygvhg/topics,,Business & Economics,Dataset,External platform,EBSCO
Caixin Global,"English-language news source covering Chinese business, finance, economics, politics, and public policy.",https://web.library.yale.edu/access-caixin-global,Requires users to register for an individual account with a Yale email address for access.,Energy & Environment; Business & Economics; Government & Public Policy,Data Platform,External platform,
Calcbench,Financial statement database built from SEC XBRL filings of public companies.,https://web.library.yale.edu/access-calcbench,Requires users to register for an individual account with a Yale email address for access.,Business & Economics,Data Platform,External platform,
Capital IQ,"Financial intelligence platform providing company financials, transactions, ownership data, market information, and professional profiles worldwide. Widely used for business, investment, and economic research.","https://library.yale.edu/eresources/access/access-capital-iq, https://guides.library.yale.edu/capiq",Requires registering an individual account with a Yale email address. Individuals who do not want to create an individual account can use S&P NetAdvantage for similar functionality.,Business & Economics,Data Platform,External platform,S&P
Carbon Pulse,"News and intelligence platform covering carbon markets, emissions trading, greenhouse gas pricing, climate policy, and sustainability initiatives.",https://library.yale.edu/eresources/access/access-carbon-pulse,Requires users to register for an individual account with a Yale email address for access.,Energy & Environment; Business & Economics; Government & Public Policy,Data Platform,External platform,
CB Insights,"Database tracking startups, investors, venture capital activity, funding rounds, acquisitions, and emerging industries.",https://library.yale.edu/eresources/access/access-cb-insights,Requires users to register for an account using a Yale email address. Note: Expert Intelligence reports are not available with academic or university accounts.,Business & Economics,Data Platform,External platform,
CDP Climate Data,"Company-reported environmental and climate disclosure data covering emissions, sustainability practices, and supply-chain activity.",https://library.yale.edu/eresources/access/access-carbon-disclosure-project-public-climate-change-data?_ga=2.105318723.1326972826.1556550690-1266232307.1547737145,,Energy & Environment; Business & Economics,Data Platform,External platform,
CEIC Data,"Global economic and financial database containing macroeconomic, sector, regional, and alternative data from official and commercial sources.",https://library.yale.edu/eresources/access/access-ceic-data,,Business & Economics; Government & Public Policy,Data Platform,External platform,
Centralbanking.com,"Information resource focused on central banking, monetary policy, financial stability, banking regulation, and financial technologies.",https://yale.idm.oclc.org/login?URL=https://www.centralbanking.com/,,Business & Economics; Government & Public Policy,Data Platform,External platform,
Conference Board,"Source for economic indicators, business research, and management intelligence.",https://library.yale.edu/eresources/access/access-conference-board,Off-campus users must be logged in to Yale’s VPN OR must create an account with their @yale.edu email address.,Business & Economics; Social Sciences,Data Platform,External platform,
Cotality/CoreLogic,"Property, mortgage, deed, tax, and real estate market database covering U.S. housing markets.",https://forms.office.com/pages/responsepage.aspx?id=u76M3Tkh-E20EU4-h6vrXGa2PpecL_VHoOa9Jy4XGNVUMVJTT1BXNDdHVVAyREk5N09BWVdCVFE5RiQlQCN0PWcu&route=shorturl,,Business & Economics; GIS & Spatial Data,Dataset,Hosted by Yale Library,
Crunchbase,"Database of private and public companies, investors, funding rounds, acquisitions, and startup activity.",https://forms.office.com/pages/responsepage.aspx?id=u76M3Tkh-E20EU4-h6vrXGa2PpecL_VHoOa9Jy4XGNVUQTVRTE40N1kwVk5FTzJTNjJOVzRPWU5IUCQlQCN0PWcu&route=shorturl,,Business & Economics,Data Platform,Hosted by Yale Library,
Data Axle,Business directory containing current and historical information on millions of U.S. and Canadian companies.,https://library.yale.edu/eresources/access/access-data-axle-reference-solutions,,Business & Economics; Social Sciences; GIS & Spatial Data,Data Platform,External platform,
Data Explr,"Historical database of U.S. private companies with information on sales, employment, industry classification, location, and ownership.",http://hdl.handle.net/10079/yuldb/yuldb2852,Data for 1981 and 1984 are not available. An individual Data Exlpr account is required to access this data.,Business & Economics; GIS & Spatial Data; Humanities & History,Dataset,External platform,
Datacenter Knowledgebase (451 Research),"Global database of data center facilities, infrastructure, capacity, utilization, and market activity.",https://forms.office.com/pages/responsepage.aspx?id=u76M3Tkh-E20EU4-h6vrXGa2PpecL_VHoOa9Jy4XGNVUQTFTSEtMRk84SVJTSUVBT0RDSzZSWkQ0WSQlQCN0PWcu&route=shorturl,,Business & Economics,Dataset,Hosted by Yale Library,
Datastream,"Historical financial database containing securities prices, economic indicators, commodities, bonds, and market data.",https://guides.library.yale.edu/Workspace/Datastream,,Business & Economics; Humanities & History,Dataset,Hosted by Yale Library,LSEG
Dewey Data,"Platform providing access to licensed third-party research datasets across healthcare, workforce, consumer behavior, transportation, and other domains.",https://www.deweydata.io/,,Health & Medicine; Social Sciences,Data Platform,External platform,
eCommerceDB,"Global e-commerce database covering online retailers, revenue, market development, competitors, traffic, and digital commerce indicators.",https://library.yale.edu/eresources/access/access-ecommercedb,Also accessible via Statista.,Business & Economics,Dataset,External platform,
EconLit,"Comprehensive index of economics literature including journal articles, books, working papers, dissertations, conference proceedings, and reviews.",https://yale.idm.oclc.org/login?URL=http://search.proquest.com/econlit?accountid=15172,,Business & Economics; Humanities & History,Data Platform,External platform,ProQuest
EIU Viewpoint,"Political and economic intelligence platform providing country analysis, forecasts, policy insights, and risk assessments.",https://viewpoint-eiu-com.yale.idm.oclc.org/,,Business & Economics; Government & Public Policy,Data Platform,External platform,
eMarketer,"Market data and analysis platform focused on digital advertising, social media, e-commerce, retail, and consumer technology.",http://hdl.handle.net/10079/yuldb/yuldb1980,,Business & Economics; Social Sciences; News & Media,Data Platform,External platform,
EMIS,"Market intelligence platform providing company, industry, country, and news data for emerging and established markets.",https://library.yale.edu/eresources/access/access-emis,"If you are prompted to login, select the Guest Access option.",Business & Economics; News & Media,Data Platform,External platform,
Esri Business Analyst,"Web-based GIS and market analysis platform with demographic, consumer, employment, and location data.",https://guides.library.yale.edu/onlinemapping/BA,"Requires an individual account. For more information and to request an account, visit: Online Mapping Resources: Esri Business Analyst Web Apps.",Business & Economics; Social Sciences; GIS & Spatial Data,Data Platform,External platform,Esri
Factiva,"Global news database with current and archival coverage from newspapers, magazines, newswires, and business sources.",https://yale.idm.oclc.org/login?URL=http://hdl.handle.net/10079/yuldb/yuldb493,"Per our license agreement, Factiva may not be used for text mining projects.",Business & Economics; Government & Public Policy; News & Media,Data Platform,External platform,EBSCO
FactSet,"Financial data and analytics platform covering global companies, markets, securities, estimates, and economic data.",http://guides.library.yale.edu/factset,Access to FactSet is made possible by Yale School of Management. FactSet Workstation is available for Faculty & PhD Students.,Business & Economics,Data Platform,Workstation access,FactSet
Finaeon,"Historical financial and economic time-series database covering countries, markets, exchange rates, interest rates, commodities, inflation, and securities.",http://web.library.yale.edu/access-global-financial-data,,Business & Economics; Humanities & History,Dataset,External platform,United Nations
