Title,Description,URL,Access note,Subjects,Resource type,Access model,Provider
ABI/Inform,"Business research database providing scholarly articles, trade publications, company profiles, industry reports, and business news. Supports research in management, finance, accounting, marketing, entrepreneurship, and economics.",https://www.proquest.com/abicomplete/index?accountid=15172,,Business & Economics; News & Media,Dataset,External platform,ProQuest
Ad*Access,"Digital archive of historical U.S. and Canadian advertisements from 1911 to 1955. Useful for research on marketing, consumer culture, media history, visual design, and advertising trends.",https://repository.duke.edu/dc/adaccess,Requires users to register for an account with a valid Yale email address.,Business & Economics; News & Media; Humanities & History,Data Platform,Open access,
Advertising Age,"News and analysis platform covering advertising, marketing, media, agencies, and brand strategy. Supports research on marketing trends, campaign strategy, and advertising industry developments.",https://library.yale.edu/eresources/access/access-ad-age?_ga=2.49974048.788554764.1679317615-416833816.1675090855,,Business & Economics; News & Media,Data Platform,External platform,
American City Business Journals,"Collection of local business news, company information, and economic reporting from major U.S. metropolitan areas. Useful for regional business, entrepreneurship, and economic development research.",https://library.yale.edu/eresources/access/access-american-city-business-journals,Requires users to request an individual account with a Yale email address.,Business & Economics; News & Media,Data Platform,External platform,
American Energy Society,"Energy information platform providing industry news, reports, white papers, podcasts, and market intelligence. Supports research on energy markets, climate policy, technology, and sustainability.",https://library.yale.edu/eresources/access/access-american-energy-society,New users will need to register for an individual account using a valid Yale email address .,Energy & Environment; Business & Economics; Government & Public Policy,Data Platform,External platform,
Associations Unlimited,"Directory of professional, trade, cultural, labor, and nonprofit organizations in the United States and abroad. Useful for identifying associations, professional networks, and organizational contacts.",https://yale.idm.oclc.org/login?URL=https://go.gale.com/ps/i.do?p=GDL&sw=w&u=29002&v=2.1&pg=BasicSearch&it=static&sid=bookmark-GDL,"Descriptions and contact information for over 500 membership organizations from around the world, including professional and trade associations, labor unions, and cultural organizations. Included titles: Encyclopedia of Associations: National Organizations of the U.S., Encyclopedia of Associations: International Organizations, and Encyclopedia of Associations: Regional, State & Local Associations .",Social Sciences,Data Platform,External platform,Gale
Audit Analytics,"Database of corporate disclosures, audit information, accounting practices, regulatory filings, and compliance activity. Supports research in accounting, corporate governance, financial reporting, and regulation.",https://library.yale.edu/eresources/access/access-audit-analytics,Available via WRDS or the Audit Analytics website. Both options require users to register for an account with a valid Yale email address.,Business & Economics; Government & Public Policy,Dataset,External platform,
BBC Research,"Market research platform covering emerging technologies, healthcare, energy, materials, biotechnology, and industrial sectors. Useful for technology forecasting, industry analysis, and market assessment.",http://hdl.handle.net/10079/yuldb/yuldb1766,,Energy & Environment; Health & Medicine; Business & Economics,Data Platform,External platform,
Bloomberg Terminal,"Professional financial data platform providing real-time market data, company information, economic indicators, analytics, and news. Widely used for investment, finance, and economic research.",https://guides.library.yale.edu/Bloomberg,,Business & Economics; News & Media,Data Platform,Workstation access,Bloomberg
Bloomberg.com,"News and data platform covering global markets, business, economics, politics, technology, and policy. Supports research on current events, financial markets, and business trends.",https://web.library.yale.edu/access-bloombergcom,Requires users to register for an individual account with a Yale email address.Bloomberg.com accounts are reset annually after the spring semester. Returning users may need to re-register with their @yale.edu address at that time.,Business & Economics; Government & Public Policy; News & Media,Data Platform,External platform,Bloomberg
